Chromosome/scaffold name	Gene start (bp)	Gene stable ID version	Strand
13	99867626	ENSG00000218502.3	-1
13	100008385	ENSG00000207719.1	1
13	26691686	ENSG00000234706.1	-1
13	100024427	ENSG00000228808.1	1
13	26803469	ENSG00000271559.1	-1
13	100060035	ENSG00000238241.1	-1
13	26808350	ENSG00000227882.1	1
13	100105650	ENSG00000266207.1	-1
13	100151981	ENSG00000203441.2	-1
13	27151023	ENSG00000234031.1	1
13	100188573	ENSG00000212197.1	-1
13	100229366	ENSG00000234168.2	1
13	27180681	ENSG00000237001.2	-1
13	100234960	ENSG00000234239.1	1
13	27479499	ENSG00000230256.1	1
13	27551680	ENSG00000223782.1	1
13	100295313	ENSG00000263615.1	1
13	27591688	ENSG00000218198.2	-1
13	100342335	ENSG00000227659.1	-1
13	27736992	ENSG00000232162.1	1
13	100378501	ENSG00000234303.2	-1
13	27746396	ENSG00000230641.1	1
13	27810419	ENSG00000234772.1	-1
13	100436111	ENSG00000201245.1	-1
13	100436308	ENSG00000238305.1	-1
13	27829201	ENSG00000207500.1	1
13	100647153	ENSG00000260738.1	-1
13	27829538	ENSG00000207051.1	1
13	27894150	ENSG00000221756.1	1
13	100680023	ENSG00000225999.1	-1
13	27917785	ENSG00000252247.1	-1
13	27947485	ENSG00000229609.1	1
13	100714550	ENSG00000236554.1	-1
13	27976613	ENSG00000201242.1	-1
13	28008286	ENSG00000203602.1	-1
13	28062275	ENSG00000252499.1	1
13	100802735	ENSG00000228501.2	-1
13	28270530	ENSG00000226703.1	-1
HG185_PATCH	39873994	ENSG00000261125.1	-1
13	100850441	ENSG00000270632.1	-1
13	28402900	ENSG00000207330.1	1
13	101116694	ENSG00000234650.1	-1
13	28407581	ENSG00000247381.2	-1
13	28527663	ENSG00000260704.1	1
13	28563435	ENSG00000242360.2	-1
13	101187995	ENSG00000224356.3	-1
13	28641724	ENSG00000271026.1	1
13	28681568	ENSG00000235115.2	1
13	101192089	ENSG00000234354.2	-1
13	28710980	ENSG00000261485.1	-1
13	101276129	ENSG00000237082.1	-1
13	28788650	ENSG00000232587.1	1
13	28806638	ENSG00000200840.1	1
13	101360579	ENSG00000233009.1	1
13	29172970	ENSG00000235472.1	1
13	29277839	ENSG00000202237.1	-1
13	101408805	ENSG00000214051.3	-1
13	29296523	ENSG00000233588.1	-1
13	101593116	ENSG00000229599.1	-1
13	29352695	ENSG00000236339.1	1
13	102369198	ENSG00000272349.1	-1
13	29796699	ENSG00000221670.1	1
13	102431234	ENSG00000201155.1	-1
13	29813516	ENSG00000236758.1	-1
13	102454228	ENSG00000215399.2	1
13	102619992	ENSG00000265164.1	-1
13	29880915	ENSG00000223460.1	1
13	102654475	ENSG00000229975.1	1
13	29913703	ENSG00000270680.1	-1
13	102669303	ENSG00000201690.1	-1
13	30050652	ENSG00000179141.5	-1
13	102698284	ENSG00000264482.1	-1
13	102915396	ENSG00000236860.1	-1
13	30440096	ENSG00000236258.1	-1
13	30446750	ENSG00000224329.2	-1
13	102944677	ENSG00000243319.3	-1
13	30492784	ENSG00000224405.1	-1
13	103019889	ENSG00000234445.1	1
13	30510042	ENSG00000122043.6	1
13	103046980	ENSG00000272143.1	1
13	30596158	ENSG00000266505.1	-1
13	103053821	ENSG00000270581.1	-1
13	103241722	ENSG00000261057.1	-1
13	30677315	ENSG00000224511.1	-1
13	103331776	ENSG00000269942.1	1
13	30726023	ENSG00000232117.1	-1
13	103374152	ENSG00000238869.1	1
13	103395340	ENSG00000231633.1	1
13	30728203	ENSG00000232643.1	1
13	103472343	ENSG00000222301.1	1
13	30780753	ENSG00000266816.1	-1
13	30855902	ENSG00000252928.1	1
13	103532449	ENSG00000250878.3	1
13	30870284	ENSG00000215049.3	1
13	103541208	ENSG00000272542.1	1
13	30890497	ENSG00000236463.1	-1
13	104077550	ENSG00000234551.1	1
13	104096970	ENSG00000230474.1	-1
13	105466678	ENSG00000225823.1	1
13	106111404	ENSG00000232307.1	-1
13	30914407	ENSG00000238121.1	-1
13	106356629	ENSG00000226620.3	1
13	30993656	ENSG00000225039.1	-1
HG185_PATCH	39910856	ENSG00000261577.1	-1
13	106549872	ENSG00000252550.1	-1
13	31002084	ENSG00000236444.2	1
13	106780720	ENSG00000222643.1	1
13	106807721	ENSG00000222682.1	-1
13	31113734	ENSG00000213411.2	-1
13	107028911	ENSG00000233532.1	1
13	31115780	ENSG00000232489.1	-1
13	107078121	ENSG00000174418.7	1
13	31127807	ENSG00000224117.1	1
13	107270158	ENSG00000272274.1	1
13	107306264	ENSG00000230156.2	1
13	31377343	ENSG00000237879.1	1
13	107315785	ENSG00000227590.1	1
13	107516164	ENSG00000174408.8	-1
13	31456070	ENSG00000224743.2	-1
13	107594562	ENSG00000196777.1	-1
13	107627286	ENSG00000239050.1	-1
13	107773381	ENSG00000221316.1	1
13	107973243	ENSG00000201847.1	-1
13	108183519	ENSG00000221650.1	-1
13	108288379	ENSG00000221473.2	1
13	108440690	ENSG00000227248.1	-1
13	108953560	ENSG00000223177.1	-1
13	109132574	ENSG00000232087.1	1
13	109753609	ENSG00000229938.1	-1
13	31456688	ENSG00000236094.1	1
13	109816250	ENSG00000236242.1	-1
13	31547426	ENSG00000238185.1	-1
13	109934321	ENSG00000223617.1	1
21	19986749	ENSG00000230233.1	1
13	31569299	ENSG00000230403.1	-1
13	109962483	ENSG00000236053.1	1
HG185_PATCH	39958199	ENSG00000261163.1	-1
21	20058408	ENSG00000265841.1	-1
13	31651391	ENSG00000231894.1	1
13	110053043	ENSG00000229792.1	1
21	20076689	ENSG00000221041.2	-1
13	110380629	ENSG00000234854.1	1
21	20230097	ENSG00000198618.4	1
13	31885426	ENSG00000229427.1	1
13	110407168	ENSG00000255813.1	-1
13	110567443	ENSG00000201161.1	1
13	110705632	ENSG00000231428.2	1
21	20290252	ENSG00000232193.1	-1
13	32420978	ENSG00000229715.4	1
21	20325582	ENSG00000226204.1	-1
13	110750200	ENSG00000265885.1	-1
13	111066552	ENSG00000238629.1	1
21	20418629	ENSG00000235965.2	-1
13	111108743	ENSG00000224821.5	-1
13	32559822	ENSG00000235822.1	1
21	20502841	ENSG00000229289.1	1
13	32599451	ENSG00000237637.1	-1
13	111154922	ENSG00000232814.2	-1
21	20616860	ENSG00000226818.1	1
13	32872291	ENSG00000230633.1	1
13	111291555	ENSG00000255831.1	1
21	20673930	ENSG00000231620.1	1
13	32958797	ENSG00000215515.2	1
13	111415021	ENSG00000225239.1	-1
21	20717465	ENSG00000212609.1	1
13	111462023	ENSG00000259831.1	-1
13	32994527	ENSG00000212293.1	-1
21	20966155	ENSG00000230198.1	1
13	32999495	ENSG00000270008.1	-1
13	111547406	ENSG00000229152.1	-1
21	20993009	ENSG00000271486.1	1
21	21112023	ENSG00000229336.1	1
13	33051411	ENSG00000229800.1	1
13	111589106	ENSG00000227105.1	1
21	21131673	ENSG00000215353.2	-1
21	21265593	ENSG00000233480.1	-1
13	111635654	ENSG00000225760.1	1
21	21629065	ENSG00000233236.1	-1
13	111748185	ENSG00000225870.1	1
21	21728060	ENSG00000251851.1	-1
21	21728965	ENSG00000252963.1	1
13	111766159	ENSG00000235875.3	-1
13	33337576	ENSG00000207325.1	-1
21	21760646	ENSG00000233676.2	1
13	33451569	ENSG00000226968.1	-1
13	111774999	ENSG00000233644.1	1
21	21797261	ENSG00000234439.1	-1
13	111796652	ENSG00000227352.1	-1
13	33528195	ENSG00000227604.3	-1
21	21802755	ENSG00000233206.1	-1
13	33615489	ENSG00000221677.2	1
13	112248356	ENSG00000215881.3	1
13	33732724	ENSG00000230300.1	-1
HG185_PATCH	39968962	ENSG00000261258.1	1
13	112554299	ENSG00000226903.1	1
21	22114908	ENSG00000224924.2	-1
13	112563079	ENSG00000264989.1	-1
13	112706392	ENSG00000200072.1	1
13	112737863	ENSG00000260385.1	1
13	112760409	ENSG00000229520.1	-1
21	22200445	ENSG00000215351.3	-1
13	112761433	ENSG00000224243.1	1
21	22595616	ENSG00000226771.1	-1
13	112851664	ENSG00000260102.1	1
21	22770068	ENSG00000221210.1	-1
21	22939084	ENSG00000234730.1	1
13	112967781	ENSG00000260343.1	1
21	23006773	ENSG00000198434.1	-1
13	112976881	ENSG00000223626.1	-1
21	23027359	ENSG00000237527.1	-1
13	113372159	ENSG00000264726.1	-1
13	113399763	ENSG00000232684.1	-1
21	23095613	ENSG00000238265.1	-1
13	113539551	ENSG00000234603.2	1
13	33845516	ENSG00000236581.4	1
13	113619149	ENSG00000267868.1	-1
15	20169919	ENSG00000188403.7	-1
13	113621798	ENSG00000235280.2	-1
13	113663092	ENSG00000269356.1	1
21	23119293	ENSG00000233997.1	1
13	113663985	ENSG00000269376.1	1
13	113782469	ENSG00000231882.1	-1
13	113784730	ENSG00000230371.1	1
15	20192909	ENSG00000259490.2	-1
13	113819316	ENSG00000269125.1	-1
21	23305635	ENSG00000227075.1	-1
13	113930931	ENSG00000232662.2	1
15	20209093	ENSG00000270961.1	-1
13	114005988	ENSG00000225083.1	1
21	23381263	ENSG00000233215.1	-1
13	114123216	ENSG00000233613.1	1
15	20210050	ENSG00000271317.1	-1
13	114133230	ENSG00000202347.1	-1
13	114451484	ENSG00000227208.1	-1
15	20211158	ENSG00000270783.1	-1
13	114518603	ENSG00000233695.1	1
15	20213655	ENSG00000271197.1	-1
13	114567141	ENSG00000272695.1	1
21	23470936	ENSG00000184856.6	1
13	33907816	ENSG00000227911.3	-1
13	114580581	ENSG00000237699.1	1
15	20216406	ENSG00000271336.1	-1
13	33911020	ENSG00000264288.1	-1
18	21852889	ENSG00000265259.1	-1
HG185_PATCH	39981433	ENSG00000260753.1	-1
21	23507018	ENSG00000234340.1	-1
13	33929343	ENSG00000230490.2	-1
18	21901650	ENSG00000212051.1	1
13	114581673	ENSG00000226921.2	-1
18	21944751	ENSG00000264365.1	1
18	21982117	ENSG00000273321.1	1
13	34185104	ENSG00000234535.1	1
13	34231573	ENSG00000232986.1	1
18	22009469	ENSG00000199636.1	1
18	22015328	ENSG00000265094.1	1
13	34403676	ENSG00000252397.1	-1
13	34486129	ENSG00000263663.1	1
13	34656566	ENSG00000227254.1	-1
13	114586640	ENSG00000229373.4	1
13	34674848	ENSG00000199196.1	-1
15	20737094	ENSG00000215405.3	-1
13	34922180	ENSG00000271850.1	1
13	35009587	ENSG00000225179.1	-1
21	23526270	ENSG00000231136.1	-1
13	114629487	ENSG00000260910.1	-1
13	35120066	ENSG00000271901.1	-1
21	23577511	ENSG00000202339.1	1
13	114873044	ENSG00000232487.1	-1
21	23582258	ENSG00000226043.1	1
13	35148341	ENSG00000231910.1	-1
13	115009980	ENSG00000264539.1	1
13	35499971	ENSG00000261728.1	-1
21	23808610	ENSG00000223488.2	-1
13	115039303	ENSG00000265450.1	1
13	35759431	ENSG00000232795.1	1
13	115072121	ENSG00000226158.1	1
13	35825207	ENSG00000234835.1	1
13	115095034	ENSG00000229723.1	-1
15	21004687	ENSG00000268343.1	1
13	36068551	ENSG00000221519.1	-1
13	36271661	ENSG00000236036.1	1
13	36841305	ENSG00000207203.1	1
21	10862622	ENSG00000169861.8	1
13	36929928	ENSG00000266047.1	1
13	37064215	ENSG00000223383.1	-1
13	37302739	ENSG00000222602.1	-1
13	37314178	ENSG00000235306.2	1
13	37316015	ENSG00000223543.1	-1
13	37363469	ENSG00000215486.4	1
HG185_PATCH	39991937	ENSG00000261631.1	1
15	21040701	ENSG00000230031.6	-1
13	37378335	ENSG00000271337.1	-1
13	37423503	ENSG00000236711.2	-1
13	37496676	ENSG00000228825.1	1
13	37500575	ENSG00000232378.1	-1
13	37512537	ENSG00000226161.1	-1
13	37608814	ENSG00000221100.1	-1
13	37740489	ENSG00000202395.1	-1
13	37794997	ENSG00000230283.1	-1
21	23872924	ENSG00000234034.1	-1
13	38055604	ENSG00000230390.1	-1
21	24052992	ENSG00000263796.1	1
13	38428989	ENSG00000199276.1	-1
21	24254903	ENSG00000225906.1	1
13	38567222	ENSG00000228036.1	-1
21	24437813	ENSG00000230972.1	1
HG185_PATCH	40009797	ENSG00000259896.1	-1
13	38624954	ENSG00000223685.1	-1
21	24462350	ENSG00000219368.3	-1
13	39107480	ENSG00000236354.1	-1
21	24473545	ENSG00000231058.1	1
13	39150777	ENSG00000229437.1	1
21	24654058	ENSG00000223078.1	-1
13	39191556	ENSG00000234701.1	-1
21	24733426	ENSG00000228592.1	-1
13	39353561	ENSG00000252795.1	1
13	39364781	ENSG00000212049.1	1
15	21215823	ENSG00000270824.1	-1
13	39395935	ENSG00000225350.1	-1
13	39476524	ENSG00000225221.1	1
15	21216780	ENSG00000270451.1	-1
13	39496864	ENSG00000235550.1	-1
21	24762579	ENSG00000223822.2	1
15	21217888	ENSG00000271255.1	-1
13	39743773	ENSG00000214823.3	-1
15	21220377	ENSG00000271305.1	-1
13	40021252	ENSG00000238408.1	-1
13	40226715	ENSG00000216014.1	1
13	40238171	ENSG00000264171.1	-1
21	24779978	ENSG00000237569.1	-1
13	40359552	ENSG00000200526.1	-1
13	40391878	ENSG00000224351.2	-1
15	49280673	ENSG00000138593.4	-1
13	40430847	ENSG00000270444.1	-1
13	40431272	ENSG00000212553.1	-1
15	21223129	ENSG00000270185.1	-1
13	40755946	ENSG00000230710.1	1
13	40798762	ENSG00000271429.1	-1
13	40800964	ENSG00000207458.1	1
15	22011370	ENSG00000268531.1	1
13	40918094	ENSG00000230058.1	-1
13	40981259	ENSG00000252812.1	-1
13	41025131	ENSG00000215483.4	-1
13	41192875	ENSG00000229456.1	1
13	41301964	ENSG00000211491.2	-1
13	41384902	ENSG00000207652.1	1
13	41396432	ENSG00000168852.8	-1
15	22051853	ENSG00000233917.4	-1
21	10906201	ENSG00000166157.12	-1
HG185_PATCH	40023160	ENSG00000260245.1	-1
13	41437735	ENSG00000176268.5	-1
13	41482295	ENSG00000239827.4	-1
13	41566915	ENSG00000229473.2	-1
13	41675155	ENSG00000264226.1	-1
21	24804501	ENSG00000199698.1	-1
13	41696012	ENSG00000244264.2	1
21	24849960	ENSG00000227716.1	1
13	41744836	ENSG00000215482.3	-1
21	25261114	ENSG00000231986.1	-1
13	41754117	ENSG00000238651.1	-1
13	41773968	ENSG00000225133.1	-1
21	25333220	ENSG00000235564.1	-1
13	41861877	ENSG00000231404.2	-1
21	25415572	ENSG00000226996.1	1
18	22069339	ENSG00000264695.1	1
13	41928693	ENSG00000223280.1	-1
21	25527484	ENSG00000224018.1	-1
18	22096847	ENSG00000266489.1	-1
13	41958909	ENSG00000214222.2	-1
21	25676863	ENSG00000224832.1	-1
18	22102237	ENSG00000266181.1	-1
13	42005425	ENSG00000205240.3	-1
21	25801054	ENSG00000237484.5	1
18	22208146	ENSG00000265485.1	1
13	42013952	ENSG00000234655.2	-1
18	22253127	ENSG00000263553.1	1
18	22265736	ENSG00000266520.1	-1
13	42016906	ENSG00000215480.3	1
18	22269878	ENSG00000266809.1	-1
13	42019427	ENSG00000263907.1	1
18	22305745	ENSG00000266573.1	1
13	42020193	ENSG00000263928.1	-1
13	42024148	ENSG00000264042.1	1
13	42142422	ENSG00000264190.1	-1
13	42381813	ENSG00000241406.2	1
13	42479254	ENSG00000206962.1	1
18	22513451	ENSG00000264345.1	-1
13	42499734	ENSG00000229696.1	1
18	22596398	ENSG00000229248.1	-1
13	42577566	ENSG00000226093.1	1
13	42617863	ENSG00000231530.1	-1
18	22635564	ENSG00000265552.1	1
13	42643068	ENSG00000237263.1	-1
18	22882090	ENSG00000264434.1	1
13	42747126	ENSG00000265679.1	-1
18	23398200	ENSG00000242216.2	-1
13	42755601	ENSG00000270809.1	-1
18	23533180	ENSG00000264193.1	-1
13	42830009	ENSG00000234213.1	1
18	23678803	ENSG00000243925.1	1
HG185_PATCH	40086887	ENSG00000260703.1	1
13	42943374	ENSG00000233259.3	-1
18	23749724	ENSG00000188985.5	-1
13	43384502	ENSG00000271216.1	-1
13	43416550	ENSG00000229546.1	-1
18	23784833	ENSG00000266227.1	1
13	43507994	ENSG00000238025.1	1
21	14741931	ENSG00000256715.1	-1
18	23835662	ENSG00000263829.1	-1
13	43732767	ENSG00000229928.1	1
13	43968661	ENSG00000232540.1	1
18	23845973	ENSG00000266237.1	1
13	44032601	ENSG00000238189.1	1
18	23879079	ENSG00000252921.1	-1
13	44118054	ENSG00000233821.1	1
18	23928311	ENSG00000264911.1	1
13	44361727	ENSG00000270522.1	1
18	23946265	ENSG00000207160.1	-1
18	24002959	ENSG00000263862.1	1
21	14982498	ENSG00000166351.6	1
18	24166678	ENSG00000252846.1	-1
13	44482850	ENSG00000233725.3	1
18	24179372	ENSG00000263846.1	1
HG185_PATCH	40122993	ENSG00000260283.1	1
21	15051621	ENSG00000269011.1	-1
18	24235706	ENSG00000260372.2	1
13	44542560	ENSG00000179611.2	1
18	13217497	ENSG00000168675.14	1
13	44680514	ENSG00000226519.1	-1
13	44716682	ENSG00000227258.1	1
18	24267585	ENSG00000265369.2	-1
13	44720606	ENSG00000235285.1	-1
18	24268075	ENSG00000263677.1	1
13	44808254	ENSG00000230731.2	-1
18	24402777	ENSG00000263382.1	-1
13	44974386	ENSG00000237361.2	-1
18	24411484	ENSG00000266184.1	-1
18	24532165	ENSG00000266549.1	-1
13	45011343	ENSG00000225727.2	1
18	24805706	ENSG00000265374.1	1
HG185_PATCH	40132691	ENSG00000262684.2	-1
13	45168994	ENSG00000230793.1	1
21	15481134	ENSG00000188992.7	-1
13	45202705	ENSG00000238932.1	-1
13	45225948	ENSG00000237585.1	1
13	45373639	ENSG00000235097.1	-1
13	45556212	ENSG00000223732.2	-1
13	45576285	ENSG00000265802.1	1
13	45634864	ENSG00000223341.1	1
13	45697228	ENSG00000271818.1	1
13	45711997	ENSG00000252055.1	-1
13	45837825	ENSG00000270381.1	1
13	45874149	ENSG00000221163.1	-1
13	45910449	ENSG00000253051.1	-1
13	45911615	ENSG00000199477.1	-1
13	45914174	ENSG00000273149.1	1
21	15588451	ENSG00000185272.9	1
15	22368478	ENSG00000182974.2	1
21	26212864	ENSG00000226983.2	1
HG185_PATCH	40173272	ENSG00000260770.2	1
15	22382382	ENSG00000183706.4	1
13	45915480	ENSG00000170919.11	1
21	26258990	ENSG00000227090.1	-1
21	26310745	ENSG00000230379.1	-1
15	22448382	ENSG00000270505.1	-1
15	22456895	ENSG00000269182.1	1
15	22472918	ENSG00000259261.2	-1
21	26403318	ENSG00000237444.1	-1
21	26427848	ENSG00000244278.1	1
21	15743436	ENSG00000155304.4	-1
HG185_PATCH	40181828	ENSG00000260320.1	-1
13	45924458	ENSG00000228886.1	1
13	45964486	ENSG00000214455.3	-1
13	45992297	ENSG00000251015.1	1
13	46010256	ENSG00000229303.1	1
13	46125620	ENSG00000200709.1	-1
15	22736246	ENSG00000197414.8	1
13	46126998	ENSG00000232786.1	-1
13	46245980	ENSG00000228869.1	1
13	46255225	ENSG00000235366.1	-1
21	26467335	ENSG00000232512.2	1
13	46261683	ENSG00000237876.1	-1
HG185_PATCH	40257656	ENSG00000260178.1	-1
21	26499782	ENSG00000223870.1	1
13	46626941	ENSG00000235903.3	1
21	26541745	ENSG00000222042.1	-1
21	26574521	ENSG00000238627.1	1
13	46743594	ENSG00000240767.2	-1
13	46809805	ENSG00000238483.1	-1
13	46824077	ENSG00000252854.1	1
13	46844212	ENSG00000251106.1	1
13	46870580	ENSG00000261097.1	-1
13	46948536	ENSG00000223336.1	-1
13	46984589	ENSG00000252385.1	1
15	49398268	ENSG00000166200.10	-1
21	15857549	ENSG00000155307.13	-1
13	46917102	ENSG00000241353.2	-1
HG185_PATCH	40269360	ENSG00000259958.1	-1
21	15964251	ENSG00000243440.2	-1
13	47029270	ENSG00000231817.3	-1
13	47034744	ENSG00000227019.2	1
13	47064997	ENSG00000205105.5	1
HG185_PATCH	40277683	ENSG00000260325.1	1
13	47079253	ENSG00000230243.1	1
13	47426278	ENSG00000224517.2	1
13	47881217	ENSG00000234590.1	1
13	48033078	ENSG00000244521.2	-1
13	48337595	ENSG00000234145.1	1
13	48340775	ENSG00000229423.2	-1
HG185_PATCH	40281228	ENSG00000261378.1	-1
13	48399465	ENSG00000228573.1	-1
15	22833395	ENSG00000153575.6	1
13	48479464	ENSG00000234689.1	-1
13	48504290	ENSG00000260388.1	-1
13	48575525	ENSG00000227848.1	1
HG185_PATCH	39874406	ENSG00000263172.1	1
13	48651273	ENSG00000229111.1	1
HG185_PATCH	39886381	ENSG00000262688.2	-1
HG185_PATCH	39993316	ENSG00000266571.1	-1
13	48708494	ENSG00000224510.2	-1
HG185_PATCH	40004770	ENSG00000260752.1	-1
13	48870649	ENSG00000231473.2	-1
18	24916343	ENSG00000264151.1	-1
13	48890999	ENSG00000238086.4	-1
13	48902220	ENSG00000177197.7	-1
13	49144775	ENSG00000233456.1	-1
21	16333556	ENSG00000180530.5	-1
13	49151110	ENSG00000233610.1	-1
18	24923216	ENSG00000264790.1	1
13	49326225	ENSG00000222391.1	-1
13	49345264	ENSG00000225131.1	1
18	24935370	ENSG00000244329.1	-1
13	49504256	ENSG00000265585.1	-1
13	49562051	ENSG00000201662.1	1
18	24977916	ENSG00000263611.1	1
13	49618215	ENSG00000223724.1	-1
18	24998848	ENSG00000265097.1	-1
13	49669527	ENSG00000199788.1	1
13	49761615	ENSG00000235957.1	-1
18	25032478	ENSG00000263405.1	-1
13	49784558	ENSG00000231665.1	-1
18	25534483	ENSG00000227279.1	1
13	50063106	ENSG00000236577.1	1
15	41028082	ENSG00000137824.11	-1
18	26231696	ENSG00000266296.1	1
13	50194450	ENSG00000176882.4	1
HG183_PATCH	62399863	ENSG00000261371.1	-1
18	26365032	ENSG00000265994.1	1
13	50243040	ENSG00000203547.1	1
18	26404616	ENSG00000271238.1	-1
13	50463770	ENSG00000222148.1	-1
13	50464727	ENSG00000181358.3	1
18	26628584	ENSG00000251719.1	1
18	26675539	ENSG00000265730.1	-1
13	50482770	ENSG00000200064.1	-1
18	26776406	ENSG00000212085.2	-1
13	50526670	ENSG00000264526.1	-1
13	50570551	ENSG00000264864.1	-1
18	26836782	ENSG00000266479.1	-1
15	62929371	ENSG00000259458.1	-1
18	26858474	ENSG00000265980.1	-1
18	27063293	ENSG00000221731.1	1
18	27098224	ENSG00000264587.1	1
18	28293241	ENSG00000266196.1	1
18	28534786	ENSG00000265670.1	-1
18	28564072	ENSG00000251702.1	1
18	28638806	ENSG00000261521.1	-1
13	50601269	ENSG00000231607.4	-1
18	28652470	ENSG00000238376.1	1
21	26711319	ENSG00000238660.1	1
18	28681551	ENSG00000265888.1	1
21	26734135	ENSG00000213885.3	1
18	28711419	ENSG00000263698.1	1
21	26758133	ENSG00000185433.4	-1
18	28923331	ENSG00000266729.1	-1
21	26842421	ENSG00000238314.1	-1
21	26887785	ENSG00000229962.1	-1
13	50623109	ENSG00000208006.1	-1
18	28925325	ENSG00000207019.1	-1
13	50673467	ENSG00000214359.3	1
21	26934221	ENSG00000234883.2	1
18	28962280	ENSG00000207240.1	1
18	29076608	ENSG00000266521.1	-1
13	50746225	ENSG00000232150.3	1
21	26955082	ENSG00000260583.1	-1
18	29122109	ENSG00000264859.1	-1
21	27015801	ENSG00000237731.1	1
13	50935546	ENSG00000223676.1	-1
